sessions  OK  (KingbaseES V008R006C009B0014, primary, system@local, 2026-09-26T19:43:25+08:00)

session.activity: 105 rows
pid     usename    datname   application_name     client_addr     backend_type                  state   backend_xid  backend_xmin  xact_age_s  query_age_s  state_age_s  wait_event_type  wait_event           query
3271    -          -         check pointer        -               checkpointer                  -       -            -             -           -            -            Activity         CheckpointerMain     
3272    -          -         background flush     -               background writer             -       -            -             -           -            -            Activity         BgWriterHibernate    
3273    -          -         wal flush            -               walwriter                     -       -            -             -           -            -            Activity         WalWriterMain        
3274    -          -         auto vacuum          -               autovacuum launcher           -       -            -             -           -            -            Activity         AutoVacuumMain       
3279    system     kingbase  ksh writer           -               ksh writer                    idle    -            -             -           1.6          0.6          Activity         KshMain              select pg_catalog.metric_update_timer();
3280    system     -         sys_ksh collector    -               ksh collector                 idle    -            -             -           -            0.9          Activity         KshMain              
3281    system     -         logical replication  -               logical replication launcher  -       -            -             -           -            -            Activity         LogicalLauncherMain  
3294    esrep      esrep     internal_rwcmgr      192.168.105.10  client backend                idle    -            -             -           0.8          0.8          Client           ClientRead           SELECT n.node_id as nodeId, n.type as nodeType, n.upstrea...
179417  esrep      esrep     internal_rwcmgr      192.168.105.10  client backend                idle    -            -             -           0.1          0.1          Client           ClientRead           SELECT pg_catalog.pg_is_in_recovery()
759699  esrep      esrep     internal_rwcmgr      192.168.105.11  client backend                idle    -            -             -           0.5          0.4          Client           ClientRead           SELECT state,sync_state FROM pg_stat_replication where ap...
784848  esrep      -         node2                192.168.105.11  walsender                     active  -            -             -           -            2720.5       Activity         WalSenderMain        
809975  kbdiag_ro  test      kbdiag_inj_conn      127.0.0.1       client backend                idle    -            -             -           3.4          3.4          Client           ClientRead           select((select valuntil from pg_user where usename = 'kbd...
809981  kbdiag_ro  test      kbdiag_inj_conn      127.0.0.1       client backend                idle    -            -             -           3.7          3.3          Client           ClientRead           select((select valuntil from pg_user where usename = 'kbd...
809993  kbdiag_ro  test      kbdiag_inj_conn      127.0.0.1       client backend                idle    -            -             -           3.4          3.4          Client           ClientRead           select((select valuntil from pg_user where usename = 'kbd...
810010  kbdiag_ro  test      kbdiag_inj_conn      127.0.0.1       client backend                idle    -            -             -           3.3          3.3          Client           ClientRead           select((select valuntil from pg_user where usename = 'kbd...
